"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"1","X42.40","42","40",179.7369251,2,0.000199904,0.00049274
"2","X42.43","42","43",230.6200999,2,0.000143347,0.000668979
"3","X36.40","36","40",181.5563546,3,3.92e-06,0.00028878
"4","X36.42","36","42",15.97781253,7,1.12e-13,1.15e-05
"5","X36.43","36","43",223.7998134,2,0.0001625,0.000357351
"6","X37.33","37","33",21.13015511,2,4.75e-05,0.000128889
"7","X37.34","37","34",10.5653211,3,9.35e-08,4.49e-05
"8","X37.36","37","36",21.68691204,5,5.97e-11,1.78e-05
"9","X37.40","37","40",197.9890131,3,1.24e-06,0.000241691
"10","X37.42","37","42",37.90424279,4,8.28e-11,1.15e-05
"11","X37.43","37","43",229.5319306,2,0.002830922,0.000487967
"12","X34.36","34","36",19.31007346,4,4.12e-09,1.78e-05
"13","X34.40","34","40",203.7734512,3,1.7e-06,0.000735769
"14","X34.42","34","42",30.31819975,5,4.73e-10,1.15e-05
"15","X34.43","34","43",241.2833714,2,0.000347248,0.001603953
"16","X35.33","35","33",14.77445551,2,0.00108056,0.000205031
"17","X35.34","35","34",9.827153069,4,2.63e-08,4.49e-05
"18","X35.36","35","36",26.34637849,5,1.01e-10,1.78e-05
"19","X35.37","35","37",4.615474245,1,0.00075,0.000164533
"20","X35.40","35","40",204.6294868,3,6.77e-06,0.000446514
"21","X35.42","35","42",41.45870736,4,1.88e-09,1.15e-05
"22","X35.43","35","43",235.2505716,1,0.000570684,0.000808362
"23","X33.34","33","34",15.6059733,4,1.84e-10,4.49e-05
"24","X33.35","33","35",14.77445551,2,1.16e-05,8.99e-05
"25","X33.36","33","36",38.77796049,4,1.61e-11,1.78e-05
"26","X33.37","33","37",21.13015511,2,2.82e-07,0.000164533
"27","X33.38","33","38",3.987488386,1,0.0047,3.37e-05
"28","X33.40","33","40",221.3364873,2,4.42e-05,0.000745124
"29","X33.42","33","42",49.51207251,3,3e-10,1.15e-05
"30","X33.43","33","43",252.6897869,2,0.000414484,0.002217236
"31","X38.33","38","33",3.987488386,2,0.00947346,0.00024854
"32","X38.34","38","34",22.48411579,4,4.4e-10,4.49e-05
"33","X38.35","38","35",22.44747001,2,1.2e-06,8.99e-05
"34","X38.36","38","36",45.7933855,5,2.3e-11,1.78e-05
"35","X38.37","38","37",28.81101304,2,1.02e-07,0.000164533
"36","X38.40","38","40",228.8483448,2,0.00018149,0.000745124
"37","X38.42","38","42",55.86830041,5,4.28e-10,1.15e-05
"38","X38.43","38","43",259.9960677,2,0.000532596,0.001696922
"39","X31.43","31","43",266.3751659,7,4.64e-11,9.28e-05
"40","X32.31","32","31",94.17440682,4,4.32e-13,2.22e-05
"41","X32.33","32","33",290.1824853,5,7.91e-14,2.33e-06
"42","X32.34","32","34",301.9533137,4,3.3e-12,2.33e-06
"43","X32.35","32","35",289.3446548,5,1.98e-13,2.33e-06
"44","X32.36","32","36",313.5468311,5,1.45e-13,2.33e-06
"45","X32.37","32","37",292.3774097,5,1.04e-13,2.33e-06
"46","X32.38","32","38",288.3640157,4,8.14e-14,2.33e-06
"47","X32.40","32","40",406.5779931,4,9.23e-13,1.18e-05
"48","X32.42","32","42",331.3159904,4,2.94e-12,2.33e-06
"49","X32.43","32","43",346.4172799,4,3.99e-12,0.000128686
"50","X19.31","19","31",194.6011094,4,5.88e-10,9.18e-05
"51","X19.32","19","32",93.41862096,2,0.000163117,0.001106242
"52","X19.33","19","33",391.3768525,4,8.12e-11,2.33e-06
"53","X19.34","19","34",403.3520002,3,2.39e-09,2.33e-06
"54","X19.35","19","35",390.7692835,4,1.43e-10,2.33e-06
"55","X19.36","19","36",414.9568665,4,3.31e-09,2.33e-06
"56","X19.37","19","37",393.8177861,4,7.48e-11,2.33e-06
"57","X19.38","19","38",389.3293785,4,1.11e-10,2.33e-06
"58","X19.40","19","40",498.4319196,3,6.2e-10,1.18e-05
"59","X19.42","19","42",432.7381208,3,1.91e-09,2.33e-06
"60","X19.43","19","43",428.1676003,3,5.1e-09,0.000157401
"61","X27.19","27","19",64.12546372,4,4.55e-11,0.000168397
"62","X27.31","27","31",250.2988362,4,8.15e-11,9.18e-05
"63","X27.32","27","32",154.8104013,4,8.09e-10,0.000385894
"64","X27.33","27","33",451.0047134,5,2.14e-12,2.33e-06
"65","X27.34","27","34",461.7678446,4,8.96e-11,2.33e-06
"66","X27.35","27","35",448.8888137,5,5.38e-12,2.33e-06
"67","X27.36","27","36",471.6873979,4,5.32e-11,2.33e-06
"68","X27.37","27","37",451.3480509,4,2.81e-12,2.33e-06
"69","X27.38","27","38",449.6972488,4,2.29e-12,2.33e-06
"70","X27.40","27","40",537.5471132,4,2.5e-11,1.18e-05
"71","X27.42","27","42",489.5466139,4,7.97e-11,2.33e-06
"72","X27.43","27","43",458.2053765,4,1.08e-10,0.000157401
"73","X18.19","18","19",227.6480913,4,2.39e-08,0.00075238
"74","X18.27","18","27",162.4096368,3,1.38e-05,0.001236906
"75","X18.31","18","31",419.2390364,5,1.74e-12,9.18e-05
"76","X18.32","18","32",323.4872619,5,7.27e-10,0.00136318
"77","X18.33","18","33",620.2058136,6,1.57e-12,2.33e-06
"78","X18.34","18","34",630.8520836,5,2.62e-10,2.33e-06
"79","X18.35","18","35",617.9366758,6,1.58e-11,2.33e-06
"80","X18.36","18","36",640.4132377,6,2.46e-12,2.33e-06
"81","X18.37","18","37",620.2879115,6,8.23e-12,2.33e-06
"82","X18.38","18","38",618.9064915,4,6.82e-11,2.33e-06
"83","X18.40","18","40",693.7475728,4,7.57e-10,1.18e-05
"84","X18.42","18","42",658.2704411,5,1.01e-11,2.33e-06
"85","X18.43","18","43",605.9392522,4,1.26e-07,0.000157401
"86","X17.18","17","18",10.16935325,2,1.82e-05,0.000288385
"87","X17.19","17","19",242.264666,4,1.49e-08,0.000288385
"88","X17.27","17","27",176.4398565,3,1.54e-06,0.000288385
"89","X17.31","17","31",432.8571202,6,1.88e-12,9.18e-05
"90","X17.32","17","32",337.7142698,5,6.34e-11,0.000288385
"91","X17.33","17","33",634.0346318,6,1.3e-12,2.33e-06
"92","X17.34","17","34",644.5241261,5,2.17e-10,2.33e-06
"93","X17.35","17","35",631.5799228,6,1.3e-11,2.33e-06
"94","X17.36","17","36",653.8661723,6,8.4e-13,2.33e-06
"95","X17.37","17","37",633.8552932,6,6.8e-12,2.33e-06
"96","X17.38","17","38",632.8222992,4,5.63e-11,2.33e-06
"97","X17.40","17","40",705.3719208,4,6.25e-10,1.18e-05
"98","X17.42","17","42",671.7209437,5,8.33e-12,2.33e-06
"99","X17.43","17","43",617.0333339,4,1.04e-07,0.000157401
"100","X30.19","30","19",226.7092872,2,7.86e-05,0.00075238
"101","X30.27","30","27",164.3752394,2,9.4e-05,0.001551508
"102","X30.31","30","31",421.5862228,4,1.85e-12,9.18e-05
"103","X30.32","30","32",324.0555161,3,1.6e-08,0.001534371
"104","X30.33","30","33",621.8640368,6,3.37e-13,2.33e-06
"105","X30.34","30","34",632.9157715,5,5.64e-11,2.33e-06
"106","X30.35","30","35",620.0773032,6,3.38e-12,2.33e-06
"107","X30.36","30","36",643.00616,5,9.31e-12,2.33e-06
"108","X30.37","30","37",622.6095701,5,1.77e-12,2.33e-06
"109","X30.38","30","38",620.2314705,4,1.46e-11,2.33e-06
"110","X30.40","30","40",701.1425882,4,1.63e-10,1.18e-05
