"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"1","X3.1","3","1",140.5709823,4,4.38e-09,4.99e-05
"2","X4.1","4","1",133.5771289,4,8.61e-13,4.99e-05
"3","X5.4","5","4",63.20979669,4,5.08e-11,1.4e-06
"4","X13.5","13","5",51.37986927,6,1.35e-14,1.89e-08
"5","X11.5","11","5",134.5928296,6,1.53e-14,1.89e-08
"6","X14.5","14","5",258.7386333,5,1.33e-11,1.89e-08
"7","X14.11","14","11",121.1093646,4,1.41e-10,2.63e-07
"8","X14.15","14","15",222.1072127,4,6.48e-09,8.14e-07
"9","X16.5","16","5",263.857742,6,7.76e-16,1.89e-08
"10","X16.11","16","11",124.7471302,5,2.2e-12,2.63e-07
"11","X16.15","16","15",222.4292322,4,5.25e-09,8.14e-07
"12","X8.5","8","5",273.8181807,5,1.53e-11,1.89e-08
"13","X8.11","8","11",135.7586289,4,1.63e-10,2.63e-07
"14","X8.14","8","14",8.149188618,3,4.11e-08,5.27e-08
"15","X8.15","8","15",236.1320139,4,7.48e-09,8.14e-07
"16","X10.5","10","5",275.3005318,5,2.5e-12,1.89e-08
"17","X10.11","10","11",136.1636935,4,2.66e-11,2.63e-07
"18","X10.14","10","14",24.37725122,3,6.71e-09,5.27e-08
"19","X10.15","10","15",233.2498595,4,1.22e-09,8.14e-07
"20","X10.16","10","16",6.279950706,3,2.01e-08,3.14e-06
"21","X9.5","9","5",279.7647942,5,1.04e-11,1.89e-08
"22","X9.8","9","8",0.525845885,2,8.77e-07,1.63e-08
"23","X9.11","9","11",141.3413993,4,1.1e-10,2.63e-07
"24","X9.14","9","14",14.97901145,3,2.78e-08,5.27e-08
"25","X9.15","9","15",241.1028137,3,1.81e-08,8.14e-07
"26","X12.8","12","8",23.63945965,3,8.17e-11,1.63e-08
"27","X12.10","12","10",7.377205405,3,5.96e-09,1.85e-06
"28","X12.11","12","11",142.4901802,3,2.59e-09,2.63e-07
"29","X12.14","12","14",32.74150234,2,6.53e-07,5.27e-08
"30","X12.15","12","15",238.3368738,3,1.19e-07,8.14e-07
"31","X12.16","12","16",13.76909724,2,1.96e-06,3.14e-06
"32","X21.8","21","8",424.4522366,4,3.53e-13,1.63e-08
"33","X21.9","21","9",420.4190581,4,1.26e-12,2.01e-08
"34","X21.10","21","10",416.8384256,5,2.28e-16,5.46e-07
"35","X21.11","21","11",541.7532642,5,7.25e-14,2.63e-07
"36","X21.12","21","12",407.8120124,4,5.14e-15,5.46e-07
"37","X21.14","21","14",438.5541841,4,1.76e-11,5.27e-08
"38","X21.15","21","15",617.3891625,4,2.12e-13,5.46e-07
"39","X21.16","21","16",423.8249013,4,2.65e-13,5.46e-07
"40","X6.8","6","8",430.2746457,5,7.55e-13,1.63e-08
"41","X6.9","6","9",426.2622366,4,9.93e-13,2.01e-08
"42","X6.11","6","11",543.1152679,5,5.73e-14,2.63e-07
"43","X6.14","6","14",444.2024886,4,1.39e-11,5.27e-08
