"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"1","X14.17","14","17",128.6872241,3,8.33e-05,0.000492042
"2","X16.14","16","14",35.46956056,2,0.000648422,0.000275823
"3","X16.17","16","17",166.4802179,2,8.83e-06,0.001286139
"4","X16.19","16","19",294.1182695,6,3.98e-11,0.000110517
"5","X11.16","11","16",98.32721699,2,0.000809512,0.000941149
"6","X11.14","11","14",137.4190047,2,0.001338059,0.000542774
"7","X11.17","11","17",258.7616768,2,0.000262103,0.002136145
"8","X11.18","11","18",249.5786451,2,6.4e-06,5.31e-05
"9","X11.19","11","19",382.4139716,3,5.65e-08,0.00016184
"10","X12.11","12","11",134.5610718,5,2.72e-09,1.47e-05
"11","X12.14","12","14",260.8841627,3,1.59e-05,1.47e-05
"12","X12.15","12","15",181.4720849,3,5.62e-05,1.71e-05
"13","X12.16","12","16",228.2073033,3,2.44e-05,1.47e-05
"14","X12.17","12","17",357.804582,3,0.000100515,1.47e-05
"15","X12.18","12","18",376.7073479,5,5.45e-10,1.47e-05
"16","X12.19","12","19",466.9450823,5,8.85e-12,1.47e-05
"17","X13.11","13","11",160.455904,2,0.000133035,0.002236871
"18","X13.12","13","12",56.294349,2,0.000434548,0.002055897
"19","X13.14","13","14",298.2057037,3,3.43e-06,0.001071431
"20","X13.15","13","15",227.6892595,2,3.21e-05,0.003443868
"21","X13.16","13","16",261.8294936,3,6.52e-05,0.00306227
"22","X13.17","13","17",404.9559668,1,0.00078996,0.003995619
"23","X13.18","13","18",412.9328165,3,1.56e-09,5.31e-05
"24","X13.19","13","19",518.2572591,2,5.25e-07,0.000209885
"25","X6.11","6","11",299.4028116,2,3.73e-05,0.002930192
"26","X6.12","6","12",193.3653931,3,2.14e-05,0.00289199
"27","X6.13","6","13",127.2249496,2,0.002269487,0.002870743
"28","X6.14","6","14",440.0541559,3,3.08e-07,0.001071431
"29","X6.15","6","15",371.5071201,3,6.34e-06,0.002930192
"30","X6.16","6","16",402.2075563,3,5.52e-06,0.002930192
"31","X6.17","6","17",548.7804238,3,2.2e-05,0.002930192
"32","X6.18","6","18",553.4942405,4,5.21e-08,5.31e-05
"33","X6.19","6","19",660.7490091,4,1.19e-09,0.000209885
"34","X10.6","10","6",104.6044683,6,1.24e-15,2.14e-06
"35","X10.9","10","9",64.20833124,3,6.13e-06,3.36e-05
"36","X10.11","10","11",363.5450262,6,6.8e-12,2.14e-06
"37","X10.12","10","12",234.9686291,4,6.66e-09,2.14e-06
"38","X10.13","10","13",184.0286663,4,5.7e-10,2.14e-06
"39","X10.14","10","14",496.3255048,6,5.1e-13,2.14e-06
"40","X10.15","10","15",415.4237769,5,2.52e-10,2.14e-06
"41","X10.16","10","16",462.5054919,6,3.06e-12,2.14e-06
"42","X10.17","10","17",589.0063903,4,1.15e-09,2.14e-06
"43","X10.19","10","19",689.1888737,6,2.94e-15,2.14e-06
"44","X8.6","8","6",102.5054126,4,7.03e-13,2.14e-06
"45","X8.7","8","7",0.344021514,1,0.083225,0.000199504
"46","X8.11","8","11",367.3179006,5,8.11e-13,2.14e-06
"47","X8.12","8","12",239.5762234,3,6.27e-10,2.14e-06
"48","X8.13","8","13",187.425962,3,1.23e-09,2.14e-06
"49","X8.14","8","14",500.753776,5,2.11e-13,2.14e-06
"50","X8.15","8","15",420.4021271,4,1.69e-11,2.14e-06
"51","X8.16","8","16",466.6719492,5,3.23e-13,2.14e-06
"52","X8.17","8","17",594.3626922,4,4.78e-10,2.14e-06
"53","X8.19","8","19",695.2439828,5,6.46e-16,2.14e-06
"54","X7.6","7","6",101.8836846,5,7.6e-14,2.14e-06
"55","X7.9","7","9",77.11824452,2,0.000136465,3.36e-05
"56","X7.10","7","10",10.72759684,2,0.001002418,0.000148664
"57","X7.11","7","11",370.7033323,6,1.51e-13,2.14e-06
"58","X7.12","7","12",243.7697836,4,1.48e-10,2.14e-06
"59","X7.13","7","13",190.558422,4,1.33e-10,2.14e-06
"60","X7.14","7","14",504.7292903,6,2.29e-14,2.14e-06
"61","X7.15","7","15",424.8964348,5,5.6e-12,2.14e-06
"62","X7.16","7","16",470.4046797,6,6.8e-14,2.14e-06
"63","X7.17","7","17",599.1543375,4,5.17e-11,2.14e-06
"64","X7.19","7","19",700.530129,6,6.98e-17,2.14e-06
"65","X4.6","4","6",184.0689954,2,3.55e-06,6.39e-05
"66","X4.7","4","7",169.6710103,2,4.81e-05,0.002484523
"67","X4.8","4","8",171.9347784,2,9.33e-06,0.004874489
"68","X4.9","4","9",245.7223086,3,5.61e-07,0.005950409
"69","X4.10","4","10",182.936407,2,1.09e-06,0.00195922
"70","X4.11","4","11",484.109491,3,5.5e-10,0.004480573
"71","X4.12","4","12",379.7415874,3,2.79e-08,0.003343134
"72","X4.13","4","13",314.4011056,2,3.7e-06,0.005918944
"73","X4.14","4","14",625.8604644,4,1.27e-11,0.001071431
"74","X4.15","4","15",558.8694801,3,6.99e-08,0.003985466
"75","X4.16","4","16",587.0828904,3,6.66e-10,0.004794334
"76","X4.17","4","17",736.1427677,3,1.11e-08,0.003995619
"77","X4.18","4","18",738.0224192,3,4.39e-11,5.31e-05
"78","X4.19","4","19",847.3146937,3,2e-10,0.000209885
"79","X3.4","3","4",155.7175674,2,0.005010782,0.003112018
"80","X3.6","3","6",348.5965868,3,1.78e-08,6.57e-05
"81","X3.7","3","7",336.824047,3,6.37e-07,0.002484523
"82","X3.8","3","8",338.9722009,3,9.18e-08,0.003227443
"83","X3.9","3","9",414.4422023,4,2.81e-09,0.003149675
