"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"1","X3.2","3","2",348.2764164,5,3.57e-14,1.89e-08
"2","X3.5","3","5",296.2808896,3,1.47e-08,8.14e-07
"3","X4.3","4","3",155.7175674,3,4.49e-08,5.46e-07
"4","X4.2","4","2",505.9476214,5,2.08e-15,1.89e-08
"5","X4.5","4","5",449.1570139,3,1e-07,5.46e-07
"6","X7.3","7","3",336.824047,6,4.28e-16,5.46e-07
"7","X7.4","7","4",169.6710103,3,9.53e-09,2.14e-06
"8","X7.5","7","5",617.9228155,6,9.52e-16,5.46e-07
"9","X8.3","8","3",338.9722009,5,3.96e-15,5.46e-07
"10","X8.4","8","4",171.9347784,2,8.81e-08,2.14e-06
"11","X8.5","8","5",619.6763798,5,8.81e-15,5.46e-07
"12","X8.7","8","7",0.344021514,1,0.083225,0.000199504
"13","X10.4","10","4",182.936407,4,4.41e-11,2.14e-06
"14","X10.7","10","7",10.72759684,2,0.000497132,3.62e-05
"15","X10.8","10","8",4.367096995,2,0.000500036,3.62e-05
"16","X6.3","6","3",348.5965868,5,2.12e-12,5.46e-07
"17","X6.4","6","4",184.0689954,3,3.35e-07,8.74e-05
"18","X6.5","6","5",648.7541932,5,2.69e-13,5.46e-07
"19","X9.7","9","7",77.11824452,6,4.36e-13,3.54e-11
"20","X9.8","9","8",71.13088486,5,4.39e-13,3.54e-11
"21","X9.10","9","10",64.20833124,4,8.78e-10,3.54e-11
"22","X13.3","13","3",478.7484576,3,9.34e-10,5.46e-07
"23","X13.4","13","4",314.4011056,2,8.98e-07,8.74e-05
"24","X13.5","13","5",779.1993558,3,1.18e-10,5.46e-07
"25","X13.6","13","6",127.2249496,3,1.28e-09,6.39e-05
"26","X13.7","13","7",190.558422,2,3.43e-05,0.000429149
"27","X13.8","13","8",187.425962,2,4.01e-05,0.000464672
"28","X13.9","13","9",137.9515668,2,0.000495023,0.000767154
"29","X13.10","13","10",184.0286663,2,7.19e-05,0.000356687
"30","X12.3","12","3",545.2283319,6,1.45e-15,5.46e-07
"31","X12.4","12","4",379.7415874,4,5.3e-09,1.47e-05
"32","X12.5","12","5",844.5637825,6,5.3e-16,5.46e-07
"33","X12.6","12","6",193.3653931,5,2.65e-13,1.47e-05
"34","X12.7","12","7",243.7697836,4,2.17e-07,1.47e-05
"35","X12.8","12","8",239.5762234,3,2.6e-06,1.47e-05
"36","X12.9","12","9",178.1497575,1,0.0175875,1.8e-05
"37","X12.10","12","10",234.9686291,3,5.16e-07,1.47e-05
"38","X12.13","12","13",56.294349,3,1.56e-06,1.47e-05
"39","X11.3","11","3",640.4235164,4,8.42e-12,5.46e-07
"40","X11.4","11","4",484.109491,1,0.0001875,5.38e-05
"41","X11.5","11","5",944.9523921,4,1.87e-11,5.46e-07
"42","X11.6","11","6",299.4028116,3,2.14e-09,5.38e-05
"43","X11.7","11","7",370.7033323,1,9.86e-05,9.36e-05
"44","X11.8","11","8",367.3179006,1,0.0010375,9.36e-05
"45","X11.9","11","9",311.1803332,1,6.25e-05,8.53e-05
"46","X11.10","11","10",363.5450262,1,0.0011375,9.36e-05
"47","X11.12","11","12",134.5610718,2,8.28e-06,5.38e-05
"48","X11.13","11","13",160.455904,1,0.00085,5.38e-05
"49","X19.17","19","17",125.3913699,7,6.53e-16,3.36e-07
