"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"1","1","1",-1.93269390089566,-1.93269390089566,1.73209740467106,1.73209740467106,NA,NA,NA,0,NA,0,0,NA,NA
"2","2","1",-1.57127288083401,-1.93269390089566,1.16424987627379,1.73209740467106,6,1.4e-06,1.23e-17,198.4000083,0.562,0.567847528397265,-0.361421020061651,14.4790383213431,39.9369324115144
"3","3","1",-0.81779492222372,-1.93269390089566,0.664534928932141,1.73209740467106,9,1.89e-08,1.42e-27,538.2716031,0.649,1.06756247573892,-1.11489897867194,18.7841039148808,62.8191406392261
"4","4","1",-0.498388624975441,-1.93269390089566,0.309657056465821,1.73209740467106,9,1.89e-08,8.3e-29,700.1737802,0.549,1.42244034820524,-1.43430527592022,18.7841039148808,65.6587121820248
"5","5","1",-1.47010984875349,-1.93269390089566,1.06018359825244,1.73209740467106,NA,0,0,263.986917,0.397,0.671913806418621,-0.46258405214217,Inf,Inf
"6","6","1",-0.0842392633495934,-1.93269390089566,0.70262472391694,1.73209740467106,11,1.89e-08,1.58e-33,895.7119548,0.307,1.02947268075412,-1.84845463754607,18.7841039148808,76.5278832217646
"7","7","1",-0.20978638087055,-1.93269390089566,-0.199564643045108,1.73209740467106,12,1.89e-08,3.44e-36,875.6606444,0.491,1.93166204771617,-1.72290752002511,18.7841039148808,82.6575918764003
"8","8","1",-0.202425884912012,-1.93269390089566,-0.187669473696846,1.73209740467106,11,1.89e-08,3.18e-35,877.5622861,0.192,1.9197668783679,-1.73026801598365,18.7841039148808,80.4335970579995
"9","9","1",-0.0494297680917916,-1.93269390089566,-0.452249945493855,1.73209740467106,16,3.54e-11,2.44e-46,955.112814,0.5,2.18434735016491,-1.88326413280387,25.0643092957888,106.026916238421
"10","10","1",-0.187354795965576,-1.93269390089566,-0.175171357435347,1.73209740467106,13,1.89e-08,2.78e-37,888.3180922,0.451,1.9072687621064,-1.74533910493009,18.7841039148808,85.1731975130771
"11","11","1",0.573693835418848,-1.93269390089566,-0.374444859925122,1.73209740467106,10,1.89e-08,1.86e-32,1182.304089,0.313,2.10654226459618,-2.50638773631451,18.7841039148808,74.0621464880844
"12","12","1",0.319866725673905,-1.93269390089566,-0.540201395552134,1.73209740467106,12,1.89e-08,2.04e-36,1092.312779,0.574,2.27229880022319,-2.25256062656957,18.7841039148808,83.1801135399295
"13","13","1",0.207329504440185,-1.93269390089566,0.0280648143946437,1.73209740467106,9,1.89e-08,6.97e-31,1025.583005,0.18,1.70403259027641,-2.14002340533585,18.7841039148808,70.438522658043
