"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"1","1","1",-1.42734723860918,-1.42734723860918,0.847584253071381,0.847584253071381,NA,NA,NA,0,NA,0,0,NA,NA
"2","2","1",-1.25268966863477,-1.42734723860918,1.39284430599047,0.847584253071381,3,8.77e-05,3.37e-06,107.866306,0.303,-0.545260052919089,-0.174657569974409,10.3415886585861,13.6005978136
"3","3","1",-1.19176302782223,-1.42734723860918,0.834217940358819,0.847584253071381,4,4.99e-05,4.38e-09,140.5709823,0.196,0.0133663127125618,-0.235584210786948,10.9054895552068,20.2462171125581
"4","4","1",-1.21658172638856,-1.42734723860918,0.590864438510349,0.847584253071381,4,4.99e-05,8.61e-13,133.5771289,0.344,0.256719814561032,-0.210765512220614,10.9054895552068,28.780681890483
"5","5","1",-1.13964563546912,-1.42734723860918,0.381142327287051,0.847584253071381,6,1.4e-06,1.23e-17,198.4000083,0.235,0.46644192578433,-0.287701603140053,14.4790383213431,39.9369324115144
"6","6","1",-0.0475172237111069,-1.42734723860918,-0.328177831624205,0.847584253071381,11,1.89e-08,2.3e-33,869.1148309,0.262,1.17576208469559,-1.37983001489807,18.7841039148808,76.1523989458684
"7","7","1",-0.0112932890674335,-1.42734723860918,-0.179756798483868,0.847584253071381,11,1.89e-08,4.06e-33,888.586169,0.128,1.02734105155525,-1.41605394954174,18.7841039148808,75.5841250951899
"8","8","1",-0.67565149954662,-1.42734723860918,0.395102965777359,0.847584253071381,9,1.89e-08,6.11e-25,447.9539581,0.155,0.452481287294022,-0.751695739062557,18.7841039148808,56.7547005516676
"9","9","1",-0.67054960071222,-1.42734723860918,0.370370996099423,0.847584253071381,9,1.89e-08,4.13e-25,454.7880015,0.108,0.477213256971958,-0.756797637896956,18.7841039148808,57.1463499178782
"10","10","1",-0.67632090835051,-1.42734723860918,0.196760156022134,0.847584253071381,9,1.89e-08,9.98e-26,455.2849813,0.158,0.650824097049247,-0.751026330258667,18.7841039148808,58.5666293275218
"11","11","1",-0.908300803911853,-1.42734723860918,0.378304391267952,0.847584253071381,10,1.89e-08,6.09e-28,321.9773819,0.308,0.469279861803429,-0.519046434697324,18.7841039148808,63.6657345221115
"12","12","1",-0.663645544265017,-1.42734723860918,0.153699181215904,0.847584253071381,8,1.89e-08,9.72e-24,462.8327215,0.217,0.693885071855477,-0.76370169434416,18.7841039148808,53.9878566133847
"13","13","1",-1.05667643651094,-1.42734723860918,0.648627003716782,0.847584253071381,10,1.89e-08,5.39e-28,241.6833324,0.191,0.198957249354599,-0.370670802098239,18.7841039148808,63.7878372189124
"14","14","1",-0.69932449130601,-1.42734723860918,0.427843271471202,0.847584253071381,9,1.89e-08,5.29e-25,432.5922439,0.183,0.419740981600179,-0.728022747303167,18.7841039148808,56.8988090789809
"15","15","1",-1.0569725817112,-1.42734723860918,0.310638396572871,0.847584253071381,NA,0,0,263.986917,0.714,0.53694585649851,-0.370374656897972,Inf,Inf
"16","16","1",-0.688236787230712,-1.42734723860918,0.208103671492821,0.847584253071381,10,1.89e-08,3.09e-29,443.7072628,0.255,0.63948058157856,-0.739110451378465,18.7841039148808,66.6467966059177
"17","17","1",0.107106014529326,-1.42734723860918,-0.337620371502724,0.847584253071381,11,1.89e-08,1.05e-32,955.017343,0.192,1.1852046245741,-1.5344532531385,18.7841039148808,74.63393281164
"18","18","1",0.126312171458394,-1.42734723860918,-0.343488547332525,0.847584253071381,11,1.89e-08,1.27e-32,963.3448912,0.046,1.19107280040391,-1.55365941006757,18.7841039148808,74.443706075339
"19","19","1",0.489697224702065,-1.42734723860918,-0.477313114868541,0.847584253071381,11,1.89e-08,4.1e-33,1156.328646,0.091,1.32489736793992,-1.91704446331124,18.7841039148808,75.5743210950932
