Ind	OrigPop	ReefID	Lat	Long	Am2_006	Am2_008	Am2_010	Am2_022	Am2_023	WGS_035	WGS_134	WGS_152	WGS_189	WGS_196
WA001	Wallace	1	-11.4411	143.0345	98:98	171:173	158:180	165:177	131:131	162:178	108:112	103:105	208:208	172:220
WA002	Wallace	1	-11.4411	143.0345	98:100	173:173	188:188	159:167	133:133	178:178	104:104	107:107	164:164	140:140
WA003	Wallace	1	-11.4411	143.0345	92:98	173:173	168:184	159:165	133:135	178:178	116:116	105:107	180:180	140:140
WA004	Wallace	1	-11.4411	143.0345	96:98	171:171	156:158	167:167	133:133	166:178	116:116	135:231	164:168	140:140
WA005	Wallace	1	-11.4411	143.0345	98:98	167:167	156:168	159:169	133:133	178:182	108:108	105:105	176:192	172:180
WA006	Wallace	1	-11.4411	143.0345	98:98	171:171	164:164	165:175	133:135	174:182	116:120	103:105	164:172	148:240
WA007	Wallace	1	-11.4411	143.0345	96:98	173:173	164:164	167:173	131:133	178:182	116:120	105:105	180:192	148:168
WA008	Wallace	1	-11.4411	143.0345	96:96	171:171	158:158	165:169	135:135	166:174	124:124	105:105	164:176	140:140
WA009	Wallace	1	-11.4411	143.0345	100:100	173:173	158:164	167:169	131:133	174:174	116:116	105:107	164:184	140:140
WA010	Wallace	1	-11.4411	143.0345	96:98	173:173	162:164	159:167	133:133	174:174	108:124	105:109	164:164	140:140
WA011	Wallace	1	-11.4411	143.0345	98:98	171:171	164:170	165:167	129:133	178:190	108:116	105:109	176:180	140:180
WA012	Wallace	1	-11.4411	143.0345	96:98	173:173	158:158	159:169	133:133	174:190	108:116	105:105	184:224	140:140
WA013	Wallace	1	-11.4411	143.0345	94:98	171:173	158:176	163:169	133:133	182:182	116:124	107:107	168:168	140:140
WA014	Wallace	1	-11.4411	143.0345	92:98	171:173	170:176	165:167	133:139	170:170	108:116	107:107	164:164	144:148
WA015	Wallace	1	-11.4411	143.0345	98:98	171:173	158:164	163:167	133:135	178:178	108:116	103:103	164:164	140:140
WA017	Wallace	1	-11.4411	143.0345	96:98	171:171	164:164	167:169	133:135	162:174	120:132	105:105	188:188	148:148
WA018	Wallace	1	-11.4411	143.0345	98:98	171:171	164:166	167:177	131:133	166:174	108:116	105:113	164:172	128:128
WA019	Wallace	1	-11.4411	143.0345	98:98	171:171	158:164	167:171	131:133	170:186	108:116	105:105	164:172	148:160
WA020	Wallace	1	-11.4411	143.0345	98:98	171:171	158:174	167:173	131:135	174:182	108:116	103:113	180:204	140:140
WA021	Wallace	1	-11.4411	143.0345	98:98	171:173	164:178	159:177	133:133	174:186	120:124	105:105	164:212	140:140
WA022	Wallace	1	-11.4411	143.0345	98:98	171:171	164:174	163:169	133:133	186:186	116:116	107:107	176:176	148:148
WA023	Wallace	1	-11.4411	143.0345	98:98	171:173	164:170	167:167	129:133	166:190	116:116	105:107	164:172	192:200
WA024	Wallace	1	-11.4411	143.0345	98:98	171:171	164:176	163:173	133:133	174:174	120:120	103:107	164:164	140:140
WA025	Wallace	1	-11.4411	143.0345	98:98	171:171	154:182	159:165	133:133	170:170	112:132	103:105	164:164	148:192
WA026	Wallace	1	-11.4411	143.0345	98:98	171:173	158:178	159:167	133:133	174:174	108:108	103:107	172:200	140:140
WA027	Wallace	1	-11.4411	143.0345	98:98	171:171	164:184	159:167	133:133	166:174	108:116	107:107	164:164	156:172
WA028	Wallace	1	-11.4411	143.0345	96:98	171:173	164:174	167:167	131:133	166:174	104:108	105:105	168:168	140:140
WA029	Wallace	1	-11.4411	143.0345	96:98	171:171	164:166	171:175	131:133	174:174	108:124	103:103	176:176	140:140
WA030	Wallace	1	-11.4411	143.0345	92:96	171:171	158:164	163:169	131:133	166:166	104:120	103:105	164:176	140:140
WA031	Wallace	1	-11.4411	143.0345	96:98	171:173	168:174	159:167	133:135	166:178	116:116	105:231	164:164	172:180
WA032	Wallace	1	-11.4411	143.0345	98:98	171:173	164:168	173:173	133:133	174:186	116:116	107:107	168:192	128:140
WA033	Wallace	1	-11.4411	143.0345	94:98	173:173	164:184	167:169	133:133	170:170	104:108	105:105	164:168	188:188
WA034	Wallace	1	-11.4411	143.0345	98:98	171:171	156:164	163:169	133:133	178:182	108:116	107:111	168:176	144:144
WA035	Wallace	1	-11.4411	143.0345	98:98	171:173	154:164	161:179	135:135	166:178	116:116	113:113	164:180	144:144
WA036	Wallace	1	-11.4411	143.0345	98:98	171:171	162:168	167:171	133:133	178:182	104:116	105:109	164:200	184:184
WA037	Wallace	1	-11.4411	143.0345	98:98	171:171	164:180	167:169	135:135	174:182	108:120	105:105	164:180	140:140
WA038	Wallace	1	-11.4411	143.0345	98:98	171:171	164:164	159:165	131:131	162:174	116:120	107:107	220:220	148:172
WA039	Wallace	1	-11.4411	143.0345	96:98	171:171	156:164	171:177	133:133	174:182	116:120	107:107	164:188	140:140
WA040	Wallace	1	-11.4411	143.0345	98:98	171:175	158:176	159:167	133:133	162:186	108:108	105:105	168:176	128:128
WA041	Wallace	1	-11.4411	143.0345	94:98	173:173	166:180	163:171	131:131	174:194	108:116	105:107	164:172	140:160
WA042	Wallace	1	-11.4411	143.0345	98:98	171:171	154:154	161:161	133:133	162:162	116:120	113:113	164:164	128:140
WA043	Wallace	1	-11.4411	143.0345	98:98	171:171	154:154	161:161	133:133	162:162	116:120	113:113	164:164	140:140
WA044	Wallace	1	-11.4411	143.0345	98:104	171:171	164:166	167:167	131:135	174:182	116:116	117:117	164:164	140:140
WA045	Wallace	1	-11.4411	143.0345	98:98	171:171	162:164	159:163	131:133	178:178	108:116	105:105	164:164	128:128
WA046	Wallace	1	-11.4411	143.0345	98:98	171:171	158:176	159:165	133:133	178:182	104:120	103:107	164:180	140:188
NI001	Night_Is	2	-13.1698	143.5812	98:98	171:171	158:164	167:169	133:133	162:170	120:124	105:107	164:164	144:168
NI002	Night_Is	2	-13.1698	143.5812	98:98	171:171	164:180	163:169	131:133	162:162	104:120	105:105	164:164	144:144
NI003	Night_Is	2	-13.1698	143.5812	94:98	171:171	158:164	165:167	133:133	182:182	116:120	105:105	164:164	128:140
NI004	Night_Is	2	-13.1698	143.5812	98:98	171:171	164:172	167:175	133:133	174:178	116:116	103:105	172:188	140:212
NI005	Night_Is	2	-13.1698	143.5812	98:98	171:171	164:172	165:167	131:133	178:186	116:116	105:121	164:184	188:188
NI006	Night_Is	2	-13.1698	143.5812	98:98	171:171	164:176	163:165	133:135	174:174	120:120	105:105	164:168	140:176
NI007	Night_Is	2	-13.1698	143.5812	98:98	171:171	164:166	175:175	133:135	174:190	108:116	105:119	168:168	140:144
NI008	Night_Is	2	-13.1698	143.5812	98:98	171:173	158:164	167:171	131:133	178:182	116:116	105:105	172:204	140:148
NI009	Night_Is	2	-13.1698	143.5812	96:96	171:171	164:178	159:165	133:133	170:170	116:120	105:119	164:168	140:144
NI010	Night_Is	2	-13.1698	143.5812	98:98	171:173	158:166	165:169	135:135	170:174	116:116	105:107	164:176	140:152
NI011	Night_Is	2	-13.1698	143.5812	98:98	171:171	158:164	167:171	133:135	182:182	112:120	105:109	164:184	140:172
NI012	Night_Is	2	-13.1698	143.5812	98:98	171:173	158:176	163:171	131:141	174:174	116:116	103:103	168:180	140:168
NI013	Night_Is	2	-13.1698	143.5812	98:98	171:171	166:178	161:167	133:135	170:174	96:120	105:105	164:172	140:152
NI014	Night_Is	2	-13.1698	143.5812	98:98	171:173	164:182	167:175	133:133	170:182	100:112	101:101	164:180	124:124
NI015	Night_Is	2	-13.1698	143.5812	104:104	173:173	158:164	167:173	133:135	170:170	104:116	105:107	164:168	128:144
NI016	Night_Is	2	-13.1698	143.5812	98:98	171:171	164:164	159:161	131:133	174:174	116:116	109:119	164:164	128:140
NI017	Night_Is	2	-13.1698	143.5812	98:98	171:171	162:164	159:171	131:133	166:166	104:116	103:107	164:164	140:148
NI018	Night_Is	2	-13.1698	143.5812	96:98	165:173	160:164	161:167	133:133	182:186	112:116	105:105	168:176	128:140
NI019	Night_Is	2	-13.1698	143.5812	96:96	165:173	162:174	159:165	133:139	174:178	104:116	107:207	164:176	140:140
NI020	Night_Is	2	-13.1698	143.5812	98:98	173:173	164:176	159:163	133:133	194:198	116:120	111:125	168:188	128:140
NI021	Night_Is	2	-13.1698	143.5812	98:98	171:173	164:164	165:167	133:139	178:178	116:132	105:127	164:164	156:164
NI022	Night_Is	2	-13.1698	143.5812	98:98	171:171	158:186	167:169	133:133	174:174	116:124	105:105	164:164	140:192
NI023	Night_Is	2	-13.1698	143.5812	98:98	173:173	158:176	167:173	133:133	174:174	108:108	105:107	184:184	140:140
NI024	Night_Is	2	-13.1698	143.5812	98:98	171:171	158:164	167:173	133:133	166:174	116:120	105:107	164:164	140:140
NI025	Night_Is	2	-13.1698	143.5812	92:98	171:171	158:164	171:171	133:135	174:174	108:132	111:113	164:168	140:148
NI026	Night_Is	2	-13.1698	143.5812	96:98	171:173	158:158	163:167	133:135	182:182	116:116	105:105	164:180	140:148
NI027	Night_Is	2	-13.1698	143.5812	98:98	173:173	164:164	165:167	131:131	162:174	116:120	105:113	176:176	140:140
NI028	Night_Is	2	-13.1698	143.5812	94:96	171:173	158:162	167:175	133:135	162:162	116:116	97:99	164:164	140:144
NI029	Night_Is	2	-13.1698	143.5812	98:98	171:173	158:164	159:173	131:133	174:174	116:116	97:101	164:164	128:140
NI030	Night_Is	2	-13.1698	143.5812	96:96	171:171	158:174	159:167	133:135	190:190	108:116	99:209	168:172	144:144
NI032	Night_Is	2	-13.1698	143.5812	96:98	171:173	158:166	159:167	129:133	186:186	116:116	105:111	176:188	140:140
NI033	Night_Is	2	-13.1698	143.5812	98:98	171:171	158:164	165:173	133:135	182:182	116:120	103:103	164:180	128:140
NI034	Night_Is	2	-13.1698	143.5812	96:96	171:173	158:164	163:179	133:133	174:178	116:120	107:125	164:192	140:140
NI035	Night_Is	2	-13.1698	143.5812	98:98	171:173	176:182	167:169	133:135	166:186	116:116	105:123	176:176	128:140
