Ind	OrigPop	ReefID	Lat	Long	Amil2_002	EST097	Amil2_018	Amil2_012	EST014	EST181	EST121	Amil2_022	Apam_192	Amil2_008
Aten2469	01_WAL_IS	1	-11.45	143.04	96:96	131:131	368:368	113:113	157:163	152:152	105:105	168:168	123:123	172:172
Aten2470	01_WAL_IS	1	-11.45	143.04	96:109	131:131	364:374	113:115	163:163	152:152	105:105	168:178	123:123	172:172
Aten2471	01_WAL_IS	1	-11.45	143.04	96:96	131:134	374:374	113:115	160:160	152:152	105:105	186:186	123:123	172:172
Aten2472	01_WAL_IS	1	-11.45	143.04	96:96	131:131	368:374	NA	154:160	152:152	105:111	168:186	123:123	172:172
Aten2473	01_WAL_IS	1	-11.45	143.04	96:96	131:141	374:380	111:113	157:160	152:152	105:105	168:168	123:123	172:172
Aten2474	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:376	113:115	157:163	152:152	105:111	166:168	123:123	172:172
Aten2475	01_WAL_IS	1	-11.45	143.04	96:96	131:131	NA	NA	157:160	152:152	105:105	168:168	123:123	172:172
Aten2477	01_WAL_IS	1	-11.45	143.04	96:96	134:141	368:368	113:113	160:163	152:152	105:105	168:168	123:123	172:172
Aten2478	01_WAL_IS	1	-11.45	143.04	96:96	131:134	368:374	111:113	157:163	152:152	105:105	184:186	123:123	172:172
Aten2479	01_WAL_IS	1	-11.45	143.04	96:109	131:131	368:376	113:115	160:169	152:152	105:111	182:182	123:123	172:172
Aten2480	01_WAL_IS	1	-11.45	143.04	96:96	131:137	374:374	113:115	157:157	152:152	105:105	NA	123:123	172:172
Aten2481	01_WAL_IS	1	-11.45	143.04	96:96	131:134	374:374	115:115	160:163	152:152	105:105	188:188	123:123	172:172
Aten2482	01_WAL_IS	1	-11.45	143.04	96:96	131:131	368:374	113:115	163:169	152:152	105:111	168:176	123:123	172:172
Aten2483	01_WAL_IS	1	-11.45	143.04	96:96	131:131	364:374	113:113	160:160	152:155	105:105	168:168	123:123	172:172
Aten2484	01_WAL_IS	1	-11.45	143.04	96:96	131:131	NA	115:115	160:160	152:152	105:105	168:168	123:123	172:172
Aten2486	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:115	160:160	152:152	105:105	178:178	123:123	172:172
Aten2487	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:113	157:163	152:155	105:111	168:186	123:123	172:172
Aten2488	01_WAL_IS	1	-11.45	143.04	96:96	131:131	376:376	113:115	157:163	152:155	105:111	168:174	123:123	172:172
Aten2489	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:113	169:175	152:152	105:111	168:168	123:123	172:172
Aten2490	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:113	151:154	152:152	105:105	168:168	123:123	172:172
Aten2491	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:115	160:163	152:152	105:111	166:166	123:123	172:172
Aten2492	01_WAL_IS	1	-11.45	143.04	96:96	131:131	372:374	115:115	160:163	152:152	105:111	172:172	123:123	172:172
Aten2493	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:115	160:160	152:152	105:105	168:168	123:123	172:172
Aten2494	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	111:113	157:160	152:152	105:111	188:188	123:123	172:172
Aten2495	01_WAL_IS	1	-11.45	143.04	96:96	131:141	368:378	115:115	160:169	152:152	105:105	176:176	123:123	172:172
Aten2496	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:113	160:163	152:152	105:105	NA	123:123	172:172
Aten2497	01_WAL_IS	1	-11.45	143.04	96:96	131:134	368:368	113:113	160:163	152:152	105:111	164:166	123:123	172:172
Aten2498	01_WAL_IS	1	-11.45	143.04	96:96	131:131	362:374	113:113	160:163	152:152	105:111	168:168	123:123	172:172
Aten2499	01_WAL_IS	1	-11.45	143.04	96:96	131:134	364:374	113:119	160:163	152:152	105:111	168:168	123:123	172:172
Aten2500	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:378	113:113	160:163	152:152	105:105	168:170	123:123	172:172
Aten2501	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:113	160:163	152:152	105:105	168:168	123:123	172:172
Aten2502	01_WAL_IS	1	-11.45	143.04	96:96	131:134	374:374	113:113	160:163	152:152	105:105	168:168	123:123	172:172
Aten2503	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:378	113:115	154:160	152:152	105:105	168:174	123:123	172:172
Aten2504	01_WAL_IS	1	-11.45	143.04	96:96	131:134	368:374	113:113	160:163	152:152	105:105	168:170	123:123	172:172
Aten2505	01_WAL_IS	1	-11.45	143.04	96:96	131:131	362:380	113:115	160:163	152:152	105:105	168:168	123:123	172:172
Aten2506	01_WAL_IS	1	-11.45	143.04	96:96	131:131	368:376	113:113	160:163	152:152	105:105	168:170	123:123	172:172
Aten2507	01_WAL_IS	1	-11.45	143.04	96:96	131:131	362:374	113:117	160:163	152:152	111:111	168:174	123:123	172:172
Aten2508	01_WAL_IS	1	-11.45	143.04	96:96	131:134	374:380	113:117	154:163	152:152	105:105	168:168	123:123	172:172
Aten2509	01_WAL_IS	1	-11.45	143.04	96:96	131:131	362:374	115:115	163:163	152:152	105:111	168:168	123:123	142:172
Aten2510	01_WAL_IS	1	-11.45	143.04	96:96	131:134	364:364	113:115	157:163	152:152	105:105	168:174	123:126	142:172
Aten2511	01_WAL_IS	1	-11.45	143.04	96:96	131:134	362:374	113:115	160:160	152:152	105:111	168:170	123:123	172:172
Aten2512	01_WAL_IS	1	-11.45	143.04	96:96	131:131	362:374	113:115	160:163	152:152	105:111	168:186	123:123	172:172
Aten2513	01_WAL_IS	1	-11.45	143.04	96:96	131:131	368:368	113:115	160:163	152:152	105:105	168:168	123:123	172:172
Aten2514	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:376	113:113	160:160	152:152	105:111	168:190	123:123	172:172
Aten2515	01_WAL_IS	1	-11.45	143.04	96:96	131:131	376:376	113:113	160:160	152:152	105:111	168:168	123:123	172:172
Aten2516	01_WAL_IS	1	-11.45	143.04	96:96	131:131	374:374	113:113	160:163	152:152	105:111	168:186	123:123	172:172
Aten2517	01_WAL_IS	1	-11.45	143.04	96:96	131:134	368:368	113:115	160:163	152:152	99:111	168:168	123:123	172:172
Aten2518	01_WAL_IS	1	-11.45	143.04	96:96	131:131	364:364	113:119	157:160	152:152	105:105	168:168	123:123	172:176
Aten2766	02_GRT_DET	2	-11.78	144	96:96	131:134	NA	113:113	160:172	152:152	105:105	172:174	123:123	142:172
Aten2767	02_GRT_DET	2	-11.78	144	96:96	131:131	374:376	113:113	160:163	152:152	111:111	168:174	123:123	172:172
Aten2768	02_GRT_DET	2	-11.78	144	96:96	131:134	376:378	113:113	157:160	152:152	105:105	168:168	123:126	172:172
Aten2769	02_GRT_DET	2	-11.78	144	96:96	131:131	362:362	113:113	160:163	152:152	105:111	168:174	123:123	172:172
Aten2770	02_GRT_DET	2	-11.78	144	96:96	131:134	364:364	113:115	157:163	152:152	105:105	168:168	123:123	172:172
Aten2771	02_GRT_DET	2	-11.78	144	96:96	131:131	362:362	113:113	154:160	152:152	105:111	168:186	123:123	172:172
Aten2772	02_GRT_DET	2	-11.78	144	96:96	131:141	374:374	NA	163:166	152:152	105:105	178:184	123:123	172:172
Aten2773	02_GRT_DET	2	-11.78	144	96:96	131:134	374:378	113:113	160:160	152:152	105:105	168:168	123:123	172:172
Aten2774	02_GRT_DET	2	-11.78	144	96:96	131:134	374:378	113:115	160:160	152:152	105:111	168:186	123:123	172:172
Aten2775	02_GRT_DET	2	-11.78	144	96:96	131:131	378:378	113:113	160:163	152:152	105:105	168:174	123:123	172:172
Aten2776	02_GRT_DET	2	-11.78	144	96:96	131:131	374:378	113:113	163:181	152:152	105:111	168:168	123:123	172:172
Aten2777	02_GRT_DET	2	-11.78	144	96:96	131:134	376:376	113:115	160:163	152:152	105:111	168:184	123:123	172:172
