ReefID,Lat,Long
1,-11.45,143.04
2,-11.78,144
3,-12.51,143.79
4,-12.58,143.55
5,-13.18,143.57
6,-18.35,146.82
7,-18.44,147
8,-14.61,145.63
9,-14.64,145.64
10,-14.74,145.51
11,-13.98,144.52
12,-14.82,145.53
13,-13.4,143.97
14,-14.52,145.54
15,-13.77,143.64
16,-14.7,145.46
17,-18.8,147.53
18,-18.82,147.65
19,-19.56,149.6
20,-18.48,146.87
21,-18.21,147.02
22,-18.27,147.39
23,-18.41,147.45
25,-18.59,146.49
27,-19.53,148.98
28,-18.63,147.06
29,-18.75,147.72
30,-18.66,147.71
31,-20.78,150.9
32,-20.09,150.32
33,-21.55,152.54
34,-21.7,152.56
35,-21.67,152.45
36,-21.91,152.53
37,-21.73,152.44
38,-21.5,152.56
40,-23.48,151.87
42,-22.01,152.65
43,-23.17,150.93
