0,4,5,5,4,5,6,6,6,6,6,6,6,6,6,6,6,8,8
6,0,6,5,3,5,6,6,6,6,6,6,6,6,6,6,7,8,8
9,5,0,2,3,3,3,3,4,4,4,4,3,4,4,4,4,5,5
9,5,3,0,3,2,2,2,3,2,3,3,2,4,3,3,3,3,3
Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
11,7,5,3,5,0,2,2,2,1,2,3,2,3,3,3,3,4,4
12,8,6,3,6,5,0,1,2,2,6,4,4,6,5,6,4,6,6
11,7,5,2,5,4,1,0,2,2,5,3,3,5,4,5,4,5,5
16,12,10,7,10,9,6,5,0,4,10,8,8,10,9,10,8,10,10
13,9,7,4,7,6,2,2,3,0,6,4,4,6,5,6,4,7,6
10,6,4,1,4,3,1,1,1,1,0,2,1,2,1,2,2,2,3
12,8,6,4,6,5,4,3,1,3,5,0,3,3,3,3,3,5,5
9,5,3,2,3,3,2,2,2,2,2,2,0,3,2,3,1,3,2
17,13,11,8,11,10,8,8,9,8,11,9,9,0,3,11,3,11,10
19,15,13,10,13,12,10,10,11,10,13,11,11,13,0,13,12,13,13
16,12,10,7,10,9,7,7,8,7,9,8,8,2,1,0,2,10,6
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf
20,16,14,11,14,13,11,11,12,11,14,12,12,14,10,14,2,0,4
26,22,20,17,20,19,17,17,18,17,20,18,18,20,16,20,7,20,0
